"","p_cncr5110","p_cncr9580","p_cncr4211","p_cntrl2241","p_cncr6852","p_cncr5544","p_cntrl9937","p_cntrl1122","p_cncr4638","p_cncr2102","p_cncr8112","p_cncr8965","p_cncr1395","p_cncr9847","p_cncr8363","p_cntrl8280","p_cntrl1827","p_cntrl1351","p_cncr6369","p_cncr5171","p_cncr1414","p_cncr2842","p_cncr5302","p_cncr6214","p_cncr4923","p_cntrl9973","p_cntrl4742","p_cntrl6491","p_cntrl7387","p_cncr7481"
"10000101001001000111",45579,87193,332,13154,833901,6441,354958,540146,10955,2226730,4945416,314,1269,14279,1073909,15046,145405,403778,36431,120866,6361,35828,46312,1531181,9520,1214,7815,518249,75408,13335
"00101001000111110011",54398,179566,1626068,4347,70583,1189,673,293,27746,303176,5515,678756,1623344,236042,128392,9193170,411313,14503020,95465,172361,331587,3272,324398,170503,15591,40864,5675012,855,7207,20055
"01110000111110010100",576,24842,449,1349874,773041,16952,16186,15565,748376,4905,33829,14635,40246,9920,362724,5891836,13269530,5290917,1796,62637,4954504,8812,620,61995,528961,807277,2364,18790,30811,333707
"01001001001001001011",132086,880496,6680,121223,113834,154960,2105207,455269,3999651,503680,12825,49026,13611,176557,686617,15021,471254,173092,2102,27339,10624,32995,474336,295864,2706,929915,1492238,1228200,54470,1655521
"10110100101000101010",2280957,145175,27924082,2851,93526,7366,872115,249006,264977,22335,12101,333725,7355,887434,87484,599896,30944,1395,31407,1575,586107,1102,7091,93792,7322,63722,702643,15652,74522,9106286
"00101001001110101011",1593,10314252,40896,1010,198812,27190,41206,139055,11830,357389,6842,327496,107450,41488,64306,24528,32796,89,26372515,177539,263271,33484,21560,25352,127677,58309,6155,104025,44142,16786307
"11110000100100000110",888334,214556,1468732,17408,42088,97235,352857,556,42737,9698,432278,442504,15800641,387695,146432,5476,172908,11269,3136,3174204,3048149,849996,3767755,149576,10539,2458214,1401875,7228192,205,51828
"10010100100010110000",2931,26660,4653571,342334,139230,255196,1201330,526893,1706424,2320,55028,387316,444123,146629,620,7812,18422,2325,1114,16431,453908,2899995,15234,47224,1114054,194847,42318,67488,116735,9831
"01111001110111010011",108264,18636,1671,94,22,827408,10566,5716,319682,118867,1,632,35922,5770,288350,5998,170325,671884,132976,12171,1333,42889,285,26114,27889,4102755,6887,1422422,12185,12877
"00001010100011001001",651853,7717846,118619,52962,6926535,52747,62280,57447,776900,87342,198255,2176,31668,288,156821,4436414,27698,76134,1485495,981,1246,229384,1735,132686,13972,6340268,1523230,90640,20805,21446
"10101000110001001110",7752966,110216,14527,19424,6088,5016149,120921,16125,2586165,7192989,36241,610,40419,4595786,40202198,5553,463288,12030490,86381,51542,176243,235,31217,216,4551,41820,40866209,1231513,4075708,46440
"00111111000001101010",219887,45263,317,698533,1498,139939,545393,24377,19258,1611,14,9200,16190,59186,53432,204013,490010,338687,212,510,14,130,18,38630,24413,2092234,127595166,21312,13161,593697
"00010110101010011001",419125,2116449,68124,17042,120658,3311,67,740,647498,7349677,897654,53881,3450,15429,26652,63534,919,163106,165,101541,472,338398,223785,366068,19335,50970,137040,16559849,18830,393924
"01110110110111101100",1323,4787,2558,2492678,1259,2318952,640317,84241,1097385,32826,164,29548,52789,162111,25,22468,1516,18664,12123,28753,129633,4012,126,20604,152085,1059,38020,12529212,439,173493
"10011100101111100010",115432,463191,234,616390,798,9464,17045,1379561,355315,2116,93,360950,6811,24236,29125,1620392,4589508,7412,1189,7092,13626,5939,0,6060,4382,27861454,809139,62031,6996,56258
"10011100101110001111",21390,355865,95508,349666,79319,218098,37621,771,429031,187364,683,30327,343248,1232090,2174567,1231743,6481,3413,46845,127308,75836,59560,220636,6513571,1406753,126046,171218,404135,630,229277
"01010101011010011101",421114,501476,176561,6701969,370563,81772,660626,71522,1749,107543,75443,2705613,657217,415368,2721469,51953,7015,7704,788040,1565597,2777,1844068,219519,131601,90544,14092,2865,11388928,351906,14500
"01110000100011001100",234632,115801,11674,183514,493597,207862,1746890,317687,2736131,2305,1,6870,21907,649,6574,182444,421152,13743,241,258402,6802,136839,116,5470,89371,647,1911029,1086,674674,241
"11101111010111111101",3989977,119246,209339,13087,19640,1045201,12084,23775803,1049883,162975,2752,124675,72487,267766,1233926,43958,1748,567321,305677,2292,892772,33728,4059812,269538,1395303,164680,61877,521915,3119,420108
"01111110010100010101",87900,82332,464635,7533,117684,514426,1957,196770,6242,73178,175089,13161,765234,732271,849,288921,18315,12043,870677,109651,6498846,4937,1350139,25761,14176404,1049,21468,166792,782,41947
"00110111000000010001",231910,656650,23874,56514,110642,160347,363560,142568,1126613,259518,2776613,17791,33476,92903,393757,12452,38384,42100113,13823,15095,11969,27866,25043,39862,60112,91162,1177,12956,7591,2109655
"11001101111110011010",18791,2068603,4011650,102569,23844,622597,178254,121471,22687,16262,440822,80,26428,16907,113823,98208,35640,232827,116949,7848,263779,7671,807473,54928,164889,49719,26389,15821,531,804149
"01101000111100110111",421071,23702,5385472,39088,932659,833804,88081,35333,112344,7446,1528,311125,4629,302096,29665,8908,463594,960117,34826,586819,62395,22903,716996,373,1114631,8153,7514,1660,293842,710376
"10011000010100110101",42917,20021733,11552,1471353,1188884,121802,3989,48354,6900,456936,100387,186184,62857,11015430,46536,3245884,7913,6191,269024,12774,1988751,16250,167255,10724,215486,925,44853,3436,535029,37157
"01001011010010010101",238662,267565,5075,7058,1089033,671370,2148,306864,214160,312971,22842,2647,105752,42363,1101490,479675,67607,1055,334398,2057434,11443982,258,51304,10274,26301714,25716,9505,94421,10409,12361
"01010100000001110110",2161319,50568,740,15826,59,50677,22949,332547,36342,54064,2377,12912,89619,62447,80393,349,1356024,607595,218501,47522,1300,6970,46,126311,18755,53871,83776,926340,175711,28798
"10110001101011111111",31876,750373,5,19179,35739,19247,658837,65074729,3998,2136,129,1024,17035,2397,18655,380474,4605810,619251,8595,61576,1535,1807,26,9295,178027,369781,16062,37363,6729,4121
"01100011100001110000",303755,5095,2175,7070490,300601,1681,33373,1308183,11163,517044,144930,12631,524,457835,130354,2464412,199297,237754,200263,7612,246145,69674138,879,52357,253170,12328,77298,13101,19887,752
"00110001100100010000",10453,13537,835898,0,184910,422381,680,5062,145,30236,9111,126566,879091,133946,86278,141,784916,1835725,21210,7812,1184213,2780849,156425,28154,6147061,1858935,2244984,47822,9719,279550
"01110000101010000101",85105,2171,87510,6356,30562,53813,4686,1994469,27142,143,205040,16172,498,143943,21011,3640,2030,75,1293,18853,1109,438796,106,6983,1461,13325,1371408,6647,207253,63583
"00111110011000100001",112795,1874275,5720319,54775,29881,831547,9969,129798,25927,18883,121744,43001,11778,7038826,216141,17188,692046,5006,229727,2421779,138223908,608667,637259,108423,51401,353912,8320,7255794,4650,1411348
"11101000110010010100",153971,456743,12041,23226,222864,15082,9864940,534610,3851,103525,330239,21777541,2503076,33218,559369,9921,1208689,888392,111429,5388195,1117944,7987735,4435,3114,1715,42140,186755,10668167,3116629,109123
"01111100100001111001",20734,634,25546,90758,42543,13252,9208,237349,1169,6167,17,149889,165,1603713,31498,289285,12048,15017,890,288,26257,2023,33,204351,9190,16023,394749,5029178,12175,30387
"00001011111011110011",554424,126508,20837,38389,51686,184462,1319619,104201,10507,66916,57312,35153,6069311,13516570,1932207,13004,10762,94108,11192,224358,121471,18103,170743,76379,5158,855178,523344,105956,72837,536519
"10000000101000101001",124393,5753,11146,430026,714428,641050,206000,20639,1472197,98492,38094,39569,2392,128517,112121,577987,23535,742,43878,1373081,8356,79840,113245,27599,2342428,1837776,4291398,144749,59829,29068
"11001100011100001101",17423,45387,18284,3711,2758310,62192,132689,466618,864,2978,1186157,623193,244869,39567,117887,3601,15748324,1047984,6750,95747,55811,1433767,25916854,63439,413,218256,1555784,1832,101262,968812
"00001010001011100001",26016,77303,3298862,2764,130488,129506,10301090,2341,476086,332976,1770,5938813,77572,6944,371707,890,6040,1734040,75020,1213,246770,396792,31520,126485,17157,483087,681117,261756,4072926,9802
"00001010101100011011",3967,1412442,3052798,31447,1154,2137514,10759,1208545,1500941,2905,19779,2806,1028,3524814,82,9506,3838,70227,314408,14757797,22212,13464,3521,158479,1200033,3756,56563,12072,35766,698751
"00010011001110000001",6533,5280,562018,2659198,300885,428294,1444,34551,22196,244165,5959708,27028,5258241,3893,18722,181738,38330,50007,22036,83202,462861,439938,9199365,193504,4297,851403,56696,75838,130,985324
"10000000001011101010",92781,246672,173175,12102,378993,18334,15257,18517,5644,102780,34865,47511,580377,3387471,928976,65389,4356,1855078,434063,26289,43131,89173,85388,29707,204061,190034,1458,5154,4073,301401
"01011000101011110010",785417,29781,4778,3539,272161,7991631,758235,17529,102874,7332,39,24136,31958,5606,10673,24203,124436,184787,2592892,7317,9619,3290,8,133,218783,1643092,4943308,18495253,3986091,5828
"01101001111010110000",584139,358007,2579114,104338,259991,7305,215267,13483,315,9223,28469,20124,31380,23973,45182,205229,960124,293695,3923,44174,148863,463028,3936,20877,293705,23335,317692,224853,9511,1591618
"00001100100101000011",13055,266253,24932,109093,4834,78,22740,1781,2681,25894,56973,2160276,139371,73811,1181398,771298,273,43297,1639411,377709,1997,255429,488632,5400329,327010,144204,99038,177376,155,29234
"00010110011111001000",4019477,10911,5489,28363,4994,12893248,3503928,9010,1909779,26998,23,8596,14431,96073,806,620203,419415,65264,737,38612,47323,4353,622,14684,31,421165,353994,203047,1103,40512
"11110110010100110110",166956,632077,613437,6027,867513,8375,23989,21568,14793700,242363,876208,1736331,3568,119537,109,104214,3748896,1440820,3691,21241,8935,4141,67949,119953,112263,373,14233310,14178,2372,38344
"01110001001001011010",2067854,5448539,787,1383181,9119,158123,19650,76705,20235,145371,21,6245,5715,5309,4936,1193918,38365667,10330,63,28953,1524136,61790,45,265880,31171,420063,106413,1593591,20528,220
"00001010010111000111",100993,955106,280874,138709,5147,2984,1190047,2160026,7028740,394934,13587,157,1751,4908,666368,680230,8409,4725646,112896,8825,1349976,60562,4713,29517,34292,1100,197403,54692,12415,491716
"01001011101011111011",10752,16839,344785,129967,3245751,236,31186,367003,22538,7503,114876,173944,99995,1773,32103,991843,269335,21323,100,1147601,13936,58920,5494289,17299,469573,306859,128001,277878,756407,143816
"10000001100011010010",60908,14244982,9834160,12807,1634,6,1525641,68571,44521,29639,2844,1108,272061,176691,26697,6828,20731,4122158,7653,1877715,663161,2149,1475761,3623351,67730,291462,6007,2762714,222843,1385534
"10110100000001110110",2621,436775,3456,4511,7592,281217,3775194,399664,31576,122197,3241,100315,3265,66916,7730,20218,202576,1731,7695,26664,31665,135512,786,9215,2977,54184,103006,73944,7570,1802
"10010100010001100011",11286,3793,1670,5957,8,106362,263971,20898,16129,1622,795,72570,6405,345544,76426,189976,10359,67036,4918,188633,33422,44604,13,5684,1576942,613407,163992,263886,3753,409839
"00000111110100001111",1521787,43360,10253,1114,2986,1578227,17072,9405,150156,3916,90080,787156,349629,2136926,3700174,4851,55670,28859,4125926,679209,68398,23841,2798874,40562,2579,1264378,193317,10947,491862,56554
"10110010111000110111",2034701,77313,1231919,119288,15819,673762,2498,10450,3259996,296601,8615,42382,9152,3863607,320784,8440,2406,71448,49526,755181,12959,6099,71843,1124,786098,1928,261364,1799365,11217,16153
"10110111011101100110",11521,203765,5695,331428,8321,6690,54,155991,70675,6976,3,578,57860,444964,94331,36929,141256,8603,342870,11184,2768456,15933,2,23971,26380,16006,23779,60028,2972,2786
"01111110000010001110",473732,259647,151823,43713,10628,555941,1374776,214358,75320,14689,19696,323662,548848,15127,22047,807,72743,23665,41711,34056,3562,165,2157185,120084,574605,4311359,15074,13916,60136,270837
"00001000011100100010",57633,12983,6445,35997,710377,1351,30218,96372,2364,910,1003,124923,217657,346032,128821,17855,56684,21997,51331,39791,13667433,566136,118672,20622,32677,31454,19634,6401,509928,39352
"01001000011110100101",7521169,211590,5532,34916,872989,404184,33900,206845,13159,277472,771885,2127,63079,411631,53598,90920,102743,493071,110469,3851,14667760,126770,11522530,1444635,11447,42825,243911,81502,306318,70029
"10100111111100100110",18503326,287544,124940,302184,16456142,506,41042,34167,635005,250734,315548,1164670,42297,458455,1764156,1042402,134174,83302,754708,591795,13000552,6156,44419,70921,245640,7326,17838,15345,1600,989952
"01111100011111101110",105521,7927,1138,7409214,1146,20350,40170,73752,14241,219,3,4704,10723,107161,56522,5062,227598,4370,4958,74823,1473826,1073,323,39410,1070,471951,2449637,3851,613,695
"00110011101101110011",21937,1723796,3186,39463,2149,2065,1411653,370950,52276,22931,1173,1161,162724,3330,110961,38820,98785,6331,10333,1684,3073,400891,130,52494,3657,13079613,786614,590226,9948,3716
"01101001010100001010",40590,48376,4647,2056,1535994,2638591,600764,45621,168,559,73856,22616,104207,187805,306356,18092,133897,646550,80156,170024,6829,1693,6161,107929,1685930,76806,31690,141679,3548,3419
"10011001000001000000",87270,22512,232,18529,680,12682,236670,937180,4645,3042981,3,1902893,1066,3879,6883,1160,70157,64493,370,51569,2989,1622,59,1906389,1122,4240527,1817501,4051824,26997,261601
"10111111000110011000",559229,14615,45450,38893,64655,2651,7521,810521,2128,1503641,74503,18732,218,3466,125100,12301,1885,36138,71563,9394,931195,167587,23804,3360,797114,201010,48364,631946,52484,26962
"10111011110110111001",5461412,56943,54223,916,75122,21739,10121,22926,105333,1023583,1828001,115347,82619,171324,185443,23992,197755,84559,138330,243392,2268382,1146,2477,144244,6655,9442,5563,1432415,215148,83555
"00111011001000110010",847,11330,707501,284222,2542039,5035,207515,16114537,953280,184181,5012763,231466,16998,1550254,641738,141158,273210,5681,228638,219436,275296,13373,503,90263,47647,2963414,166846,23444,592445,187514
"10100001111100011111",58753,28166,38788120,68,376508,209953,31079,136337,12779,760238,425894,139366,95735,334389,51322,518461,10451,169,8889,12554,5830,1165381,70076,201797,10945,19983,20186,153219,6657,4027
"10011001011011110010",17765,32381,10964,1311,78,32318,112934,23737,21370,4919,14,1857231,19071,644058,10676,13868033,34341,209899,89073,422,376208,72247,28,7291,4027,2202317,235489,827196,887,27526
"01001100001101011011",871584,94443,1643,63988,772742,1217107,50384,19435,11123,162,51015967,123856,4269,593265,2224,18655,1326349,989199,1347269,133453,1097442,76447,1073885,3409,1180270,47145,9255,805327,63658,578624
"00101111011101101101",175261,11782,121188,152339,90488,46986,21303,136533,224435,41414,39166,3395,44719,16869,781063,5944,3617235,4458,354484,11904,577640,1103,31390,61967,9277676,4756,169912,74859,41934,197825
"10111101101010111000",419570,4055,102407,6034,37442,4623597,593259,3578,39413,31683,3355,774493,19451,12541,5048,1694,987460,118820,341744,50718,66117,7027,208407,1619088,36888,3940,20076,78301,2797,6282735
"10000001011110010111",16108409,1088,17753,65863,3447,1146126,75,34222,1390500,195489,342,6471,7277,1110,666512,12139,19058,8382,162842,1363,7629,656,37143,72721,3719,24830,336442,1819974,2724,4663115
"11100001001011101010",545516,54756,15629,3755617,8309,33814,549064,95065,7940,59002,12866,9815,444395,6327,567580,462194,2686,522988,407383,9808,8021,2162752,58244,1839,195521,775,38195,129999,291077,454021
"11111110001010101101",36761,3915771,26559,21011,480234,27999,2236075,6575,98215,16869553,3899527,174253,223382,1114971,2658,5074,122915,28811,3054,10912,194900,112039,8578,67556,45571,8954,364297,2223591,33246,136828
"11001100010111110111",62530,4732850,2391,113285,2473,5263,93966,6420,157344,633548,84201,188550,2926,763286,45512,287359,78284,1774,20939,324100,78302,2600,85396,472,211317,7141,44955,224793,29772,8482
"01011011010100110101",79066492,60918,247198,1277026,5370767,211191,180805,43854,169075,325,687189,7565,113101,9486,13301,59669,15302,10808,29615,75120,4856,278945,33733,5865,10877,14782,3278517,186325,57856,622567
"11000011101100100001",748224,15398,8956,47756,308069,5913287,60547,163645,92031,4021,1232351,149174,824459,21072,3588,263,42732,260514,2050,2678474,2149,7467,381837,3073,10604,99838,6969484,260018,12678,1424298
"00111111010101101101",8342,296936,2995,10387,2860,55348,399,3336475,64163,31246,143,28757,1455,6991,1295,4091,84628,1423,18377,20850,38633,1668032,944,48286,28639,14172,1810503,3403381,143,3361
"01110000101000101000",4470731,921,28015,3157219,16353,4299,3410572,120721,211,74009,3041405,24995,18929,880578,4524,141232,6497964,8848,19712,3964,60858,53679,326318,2082,190457,2893,197525,22770,15465325,31745371
"00011110101011110011",69333,417557,3871,14443,55258,120549,1033803,512,381,1924,4,13820,11545,14114,17281,19091,250897,180125,4496,907392,969,1061,435,1527,8935,9039,281857,2956965,287,918
"00101011111000001100",4097940,496134,3381724,23327,16636,124785,6954,315226,54528953,14874,13572,1090992,402076,1978908,86,42341,146261,17746881,2247086,197445,132157492,364786,36194,43286,718149,3820,737759,294658,172,226
"00110111010111111011",9514,6184771,12497,2275110,95,425672,8759,1326523,75460,35241,599,37233,140166,180576,6079,2844,323571,284574,56,24132,1141,703,74,389736,4386,4687366,1693494,418493,3699,8247
"10101011010001101111",54511,5114348,200792,719,8035802,69226,982,318244,626,632496,119619,165773,5283,22354,163604,73519,1482,2822,42566,72264,155678,92638,88841,20300,7749,88274,92688,45822,214834,11167944
"11000001010110100010",1299,464804,9922,41312,64096,77996,46749,162605,165714,242444,514,63817,20753,156377,142,60870,867,201331,140805,57961,2896417,42361,392571,176903,45229,1077993,228225,11612,1552,36265
"00011001101100101101",77089,54996,244,90036,38272,62214,350277,140388,4324,17190,189831,261335,1020,1955,412477,1456,20426,16909253,5042,175382,6531,164811,2285,92105,3739,196960,11922327,6179486,83589,659
"01110001001110100011",2038189,22376,12588,96064,2950,290582,24245,21163,5511788,195002,166009,131384,5879,8260,19555,49129,193263,1986671,20352,2077718,740869,73128,117252,505,39841,178110,265706,45217,74611,1853166
"00010101111100011101",226207,55486,542886,838231,199154,2706277,1759,697285,14780,258,56987,78319,785761,28834,462400,664990,1013982,5559082,621865,533,89214,6334,71320,1098460,9410665,70385,207682,154619,6775,43717
"10101100001101101110",133353,487074,9328,7970,843591,30565,191527,1649,309,562,873790,7588,121419,79548,403355,390915,1806491,40517,1360993,270980,1641065,35125,9681,229478,10117,10688,660574,2337,856507,1498237
"01101111001111100011",34423,366418,3110599,20479,55987,266,3476884,160024,5827,6813,17644362,1877,65082,8320759,2257609,70766,1811,39119,445234,125446,4686,88794,14,2017,788,13939,789048,2367900,4248,55402
"00110101110001000111",9815,39997,2481,16001,1408,3461,1698,100256,80224,567,114,30038,98175,3796,103649,609465,899918,31000,7672,915703,5090,120,72,146476,1935,1142413,1021282,449827,10,693185
"01000001010111101111",16281,2069806,268845,3866,16567,41469,467389,964813,213207,366099,229185,17332,1011300,14925,840747,971,1558250,797017,409995,232895,14717,7563,268491,352,101965,3855,147247,2571,49,24676
"11001110101010101101",16571,1187,84238,204629,508129,296,27546,13174,89716,966310,18395,103010,12768,57999,134613,1193,78102,7146869,115048,27266,8469,30715,714797,553180,487243,3185,254828,282551,220167,1733343
"10010101111001110111",1128714,12714,206,16618,2268,15497,226322,1779,5454,207935,14,321,2410,670,36670,108361,348991,5532,4190,527,7709,2244,40,62432,6910,6782451,865344,161032,940881,4659
"10100001111101101011",28151,973793,852,4318,38281,7468,57795,148109,54596,15688,3707739,806864,73814,684295,515250,1662202,555350,76,2508523,16468,142829,37139,493603,10610,280953,3446460,17933,49579,29336,82799
"00011101010001100101",85302,197954,21676,139569,1607,7333,5754,80153,5094,34180,161,45228,15374,174399,991,3473,799974,19915,78807,53,365641,715,2,760,2500,270972,14045364,78830,964,3554
"01111110110010111101",241712,6393,1111615,14558,110936,264745,3672,50291,16677,85244,404297,79787,53611,11896690,382036,423,167255,272370,383599,48952,6385,137789,37553,22813815,1059811,3863,1467162,9338,21493,3443
"11011111001010100011",4068,52949,8712,32826,29641,1312,5783,2694684,1781,81440,161356,37026,616,11980,46320,977,1414,124780,36650,31912,40314,774845,745,32712,28831,125126,2177,1002954,2850,4146060
"11101101001001100110",1513,2009,27654,26237,4120,16803,323123,34542,1197,611265,13287,32680,299,137174,12469,2515,4809,235040,27007,12369,41239,289,310464,2480729,54130,16516,150868,34505,380284,945836
"00001011111101111110",1052728,15235517,39941,15030,112869,3677,4672,527413,37382,37831,830741,18641,24568,5687942,598772,648912,16312,12439,103554,383447,74290,20760,156733,4716,499707,2065329,1940,116,3193,41849
"01111001011001111101",10375,329902,119741,1412439,4,23463,1222811,2284696,64987,24940,7,1474,307058,2421,32267,6995,9638035,1469,103013,646681,10006,20369,6433,19750,4278,32888,6995,8714619,22,7425
"10000100101100101011",24,505494,1639506,14725092,4693,778235,124,17692,2145913,27030588,40709,91266,147296,20243,308834,7576,66903,41435254,867,287437,123910,1430,5796,2685,27222,67912,131667,90346,984,273194
"00100011111001010001",1058952,89914,3676,4453,9460,2294237,1960,259947,541380,108,88085,54612,258250,77858,3809300,204834,1269,2339,29362449,463294,27254408,2703,247422,932262,477158,25439,369634,6168284,18875,296
"01001100100110010100",238832,206569,73086,745,14089,57869,41213,10320,47123,834161,179846,746775,45580,252518,294960,823499,974,2064780,27294,217957,9857,15998,228544,4039252,930674,5104091,30878,314954,78177,122392
"00001010111001100111",2726,6413622,17550,16905,55932,1740,62149,330301,34452,591323,23980,111505,35122,74268,3577677,9060,1025925,1524349,1294939,36493,2021787,815708,701416,193484,3360,13017,3843978,5438,775,237676
"10111000100001111110",2965,32805,19758,150928,1396,122613,112772,6610,4901,1529,164,5617,84421,85,53,12659,409445,39009,280376,86,40719,755,328,95010,18639,491983,26190,2855281,14195,1895
"00110111011010000101",123946,27438,108422,2421,31747,411086,83784,1987622,14065724,24899,73974,10330,514653,459114,2628,46740,8861699,3730,1152350,6770,5379641,4295,782,45835,24830,3643716,1029362,3683,351612,77338
"01010100101010001000",1126956,78273,193058,16531,14388,5638,7400,1375,229940,1068126,158518,14909,9949,27825,39975,387931,2461,50053,23674,10187,283,112917,1359,7723,3847639,16110,18299,126830,1174996,53890
"11101011110000111101",832486,1587693,760384,133291,595819,4283962,2047,8732,2162451,496783,71043,7477,12683,24499,17714,147065,7585,1848294,24800,4494,812100,4747079,242177,856320,270701,8770,53560,211134,24447,11217
"10000001001001000011",405038,680,14329,49885,247897,260761,17654713,16930,96308,899136,428980,53691,70109,85904,6447,5366,2977,438837,35567,32667,468918,1050300,737979,32614,4373,447396,40646,355884,49154,58820
"00111000101010010101",10205,179856,21945,7677,135211,52834,1488,320623,22678,1594370,6491,975489,9729,162793,311783,117745,1205096,126293,735260,23645,448621,74492,22383,146755,9362,669958,214722,23429,37916,44581
"11000000011111110000",5287,5526,355971,1917341,4629,2555,23644,6694,160230,156421,177002,329804,2479,2431,59029,191205,1426,215382,143351,316791,9617,1147,148666,290,80025,28489,249558,425329,17761,866
"11110001100100101001",479987,511,133069,135883,1358266,5206,12689,28246,17846,41223,326364,120,503501,641208,62934797,96987,234472,3257039,65087,13467,112038,39546,4037,433852,69333,59229,20842,17640,136188,64860
"00111111010001110100",1215801,10159,3728,28152,18851,101055,7693188,22809751,50732,5610,13,79311,28306,158102,25695,1605,129892,15202,11342,2446718,311298,3572,318,56691,272899,1604,2032952,298604,19592,52733
"00000011100101010110",60897,86403,767521,153906,755042,7220,50847,5885606,1188377,33844,113,199736,51102,845870,14777299,91322,2839,1696566,2640233,2305,70070,2720864,154105,2080,109078,513162,4855,55458,16697,2499
"00100011011100010001",727899,24759,29084,35450,3715657,270411,2874,8371812,6070,195455,852887,6053,5860,89201,1543656,3366305,4298,15520,916289,2035,768027,177949,117296,467593,1771280,99445,603280,224482,1278193,75236
"01010010100110000001",894998,56079,196962,76435,253427,41349,29754897,87232,3626,442,29862,1498,505707,9360592,185,103216,24268,3418,1967,56734,71504,4472,8283,538,2074581,33107,1255792,24625,24472,5806
"10110111110111101100",549895,120804,201,336716,1229,336574,2476902,1656371,1484251,72463,4155,8091,644866,241438,61234,11536,3834493,29002,1635,458194,3620537,69,0,5933,338941,3261,5570430,46911,177,45667
"11010100001111011100",41521,16149,9985,27537,4476,3213408,4407,479802,90415,178599,192,78135,313,20933,389669,404888,611016,4261156,5898,1632,405288,30573,163,241,27865,1347497,3224,1670441,7622,1752344
"10110000100100110111",271121,307,13701,1957,99581,850617,358211,55143,5544,218,388748,2637,681,192763,5597107,367078,983,34,478799,1250477,513,1898,986400,9792,8084,16213526,642092,18035,2932,514615
"01001110011000101100",918736,28224,249263,10349,168843,10211153,530205,5639,1207995,63669,495699,10469,9215,21414,2004711,21146,28500,8571,61195,66059,3267,22285,25325,5081,529186,250,414325,36123,31235,1919
"01010010100100010011",243104,53,57246,2317412,89616,419449,4508,30531,2634,18641,104292,1134,1266506,443921,13500,2863911,208822,1087969,297595,282575,67939,29680,2034569,3051171,12895,163564,2266684,17099,54858,79493
"10011111101100001100",3551,1786,63330,4361502,25284,4491,52509079,6728,108539,3054786,769618,61313,828963,58091,22877,1970,2683,199927,969,5805468,7253,93596,53862,17391,90376,52319,8064,254693,1008970,8315
"10100011010001100010",2936709,135726,2097,21216,68661,601477,120223,289,419480,26341,6207673,5118,16060,1141976,13947441,61420,274,66756,42183,5262503,33118,5262,8902010,1007220,1717,6210,396473,1078,41856,55100
"01110000000011101111",6920,1727,1074,5124671,97,1141,22929,266808,711637,5336,117,50409,56,8409,1071,1877830,2783,67496,92432,50,27413,227,60,16121,3015,3139,11004,11693,80149,40087
"11101010101010100000",5155,335211,178129,1091172,31105,135962,24459,23988,12938498,61531,38450,9500,40316,5662,26301,1539370,826693,213616,198356,215194,137827,34745,1096438,6177,5079,204975,156630,96055,8417858,13241
"01111100000110110010",200028,80,4470,15708,3217912,40215,46636,20546,9252,883,8854,1262,376,351012,246,82745,354557,33245,20872,9488,10093,547985,184145,316481,1737528,58110,637535,2166,928061,383863
"01101000101010011110",306730,409409,31700,10783,352083,1799,81984,4380,2732,587699,222653,3383,8875,143068,174053,31,34651,228961,1449,8576,1324724,472719,11964,1265,10211,1167,3217,1109669,9248,169902
"01001010000101010010",731816,58387,20995,3177,3551003,892963,563,14546676,7735,104582,77217,280710,86487,2964638,3418522,666,40526,6855,126685,550117,18143,3436495,127977,91624,3041421,41107,685306,2882641,230004,20603
"01111001111101101111",782877,4647816,55462,6038,12169,271770,93582,266588,18439,583,99,544,90,260559,51119,232783,7015334,170011,246753,437,304309,6210,29,7710,1489,42650,14883,161172,45755,28546
"11010100110001000011",1084508,116583,41006,2242073,6005,14915,82415,111104,34654,90574,190,829684,3841,4307,4512,26923,653568,2122559,15296,210181,2861,33979,806,8329,2436,1961794,3361042,149368,263,392
"00100110001110001000",1259,822871,136730,23097,213909,804,1848,2659,7045,49224,549527,11099,1920,264658,214685,73909,3114160,23560,12562494,722812,61970,31749,965,3304,9171,878135,5377,133080,8631,15004
"10100010000110111001",3300624,306697,6814,113727,780889,63148,60206,78478,5166,409502,4941,349584,32863028,10914,343997,29836,87248252,8544,784110,346027,22900,1374,2313322,27060,378,52804,761549,50242,196780,78233
"01001000001010001101",59341,7532911,115863,256359,24531,22156,10727,4637,49433,26713,43779,6847,154049,2091,300009,587481,230253,53823,3982655,366803,410902,137308,15972,950497,28739,49520,1837,2407,270630,389113
"00001110101011100010",352713,104432,14360681,4947,75339,42867,139419,1315,487926,19688,9186,740,116870,54091,30433,4724783,65636,168195,90890,7045,2210,54361,648704,1960882,23967,536811,105786,75449,28121,6176
"11110010110011111110",195549,1335291,17334,111712,1112,1285036,62477,283272,228344,3975,29,3130,3790,663775,19685,117565,111131,21523,140128,22599,107907,3856,18,414,5115,211599,24485,859216,935,33149
"11110101010011001010",2068363,1455715,196,287935,9248,7736,116676,16495393,48022,19251,4880,6265,336,92235,475278,3372733,52155225,1129617,423,660,2744,629,72,5329,951,1364728,295718,454549,2152,255503
"11010110100101001101",1401452,46689,497,5601421,24291,9041,65695,1263673,910394,45093,688,7820,13127,13431,1622,20684,167806,175508,458,5265,39388,17531,146,938,1634,3631626,26235,10256189,11441,824
